x,y
2.19716523598882,82.7822608695652
2.18954941194725,82.4953206239168
1.37317092930199,80.4050675675676
1.12143189503301,80.541116751269
1.38016500873816,80.8146010186757
0.877765941407958,81.5065068493151
4.33482272423865,110.697209302326
1.87740690565076,109.93025404157
1.94944170298989,114.148201438849
3.56691900121868,176.295555555556
4.80368825358769,180.98783269962
3.63421935973221,179.621886792453
2.60931594474218,187.400787401575
3.37310037405302,197.509543568465
2.20954874906141,205.171551724138
3.14107227471331,225.591469194313
3.28102103942828,235.642574257426
4.10564237447866,240.40303030303
3.58252027007845,257.296216216216
2.7859527705557,258.694565217391
1.92800196595735,253.190425531915
0.336013455326821,257.296216216216
-3.0249509634472,267.414606741573
-4.71204017897824,267.414606741573
-5.59162101238752,317.332
-13.1474862566335,267.414606741573
-16.4806517864842,335.20985915493
-21.1712825656992,326.02602739726
-25.1130001042255,323.808163265306
-27.4308863302512,315.230463576159
-36.8306412563389,337.587234042553
-41.8582754792612,335.20985915493
-47.4237599911895,344.926086956522
-52.4322853512516,335.20985915493
-55.3263314303019,339.998571428571
-56.5378569360749,347.443795620438
-60.4961524857653,357.893233082707
-65.3572392396429,366.152307692308
-64.2022320074717,366.152307692308
-76.3594379733204,374.80157480315
-77.5811889808935,380.7984
-79.3488135156842,377.77619047619
-78.7240197084742,374.80157480315
-76.9359340843278,371.8734375
-79.4177384096287,383.86935483871
-80.0634110796257,386.990243902439
-80.7196685474914,390.162295081967
-82.0649963566163,396.665
-82.5048897817763,386.990243902439
-81.9504139588215,390.162295081967
-84.0163907813128,399.998319327731
-144.920171715098,485.712244897959
-151.077134402757,501.05052631579
-149.503414252728,495.83125
-149.516629067616,485.712244897959
-151.048781518456,485.712244897959
-152.605985451636,490.719587628866
-154.665944034721,553.486046511628
-156.485543376306,559.997647058824
-162.210624231537,580.485365853658
-162.065326833353,573.49156626506
-167.920655152476,587.651851851852
-169.774370463368,587.651851851852
-173.481801085152,587.651851851852
-177.527210350995,594.9975
-179.404097103273,594.9975
-183.575679853723,602.529113924051
-185.034757360108,594.9975
-176.537706609957,573.49156626506
-182.750377639613,587.651851851852
-187.376969478591,602.529113924051
-182.750377639613,587.651851851852
-186.457808261397,587.651851851852
-188.31152357229,587.651851851852
-190.165238883182,587.651851851852
-194.4191911215,594.9975
-196.880193540759,602.529113924051
-215.064945396561,594.9975
-219.687931289964,602.529113924051
-218.818718901118,594.9975
-225.389865727265,602.529113924051
-227.290510539699,602.529113924051
-236.262504376792,626.313157894737
-238.238174642348,626.313157894737
-241.414683637579,634.664
-266.759465988159,689.852173913043
-271.111667152863,689.852173913043
-275.098603434522,699.997058823529
-279.51480755753,699.997058823529
-265.589520756758,670.419718309859
-269.383656767568,679.997142857143
-273.287767735214,689.852173913043
-348.598868717529,743.746875
-344.860309370737,721.209090909091
-371.545498462208,634.664
-383.781689381478,652.052054794521
-389.111990622887,661.108333333333
-383.781689381478,652.052054794521
-376.566383576562,643.24054054054
-399.539139246655,661.108333333333
-10.8190008690495,99.16625
-11.7467887708599,94.0707509881423
-11.4500477823574,94.0707509881423
-10.5182507033977,93.7003937007874
-11.4208363773561,98.9600831600832
-10.7518021058877,98.5503105590062
-13.6627951540379,99.3732776617954
-13.894859615253,101.061146496815
-18.5446809389651,131.85540166205
-19.4113862102767,168.197173144876
-21.1285472981089,183.076153846154
-24.245045562315,228.845192307692
-24.321372290241,244.101538461538
-25.093479347074,251.850793650794
-27.9200022427085,255.912903225806
-38.3916546781671,323.808163265306
-39.9567184680885,328.274482758621
-43.6655734155219,332.865734265734
-44.8251977998915,326.02602739726
-46.8155931396253,332.865734265734
-47.0825818617565,342.444604316547
-48.121168226354,349.998529411765
-54.3236568186403,377.77619047619
-55.6486240581194,386.990243902439
-56.1047603208908,390.162295081967
-57.8093528870326,393.386776859504
-59.7857410199226,406.835897435897
-60.3011353390598,410.343103448276
-61.3044838629872,399.998319327731
-60.7936131641289,396.665
-62.0448709989811,396.665
-62.5662564695608,399.998319327731
-65.4787539660344,410.343103448276
-67.3537947847153,413.911304347826
-69.2617310563555,417.542105263158
-68.6594551341264,413.911304347826
-69.3619679362654,410.343103448276
-69.9651154835373,413.911304347826
-68.6594551341264,413.911304347826
-69.3619679362654,410.343103448276
-70.052471972556,406.835897435897
-73.2130715874677,417.542105263158
-75.1918032519939,428.827027027027
-77.2403736468507,432.725454545455
-77.9490009280145,436.695412844037
-77.2403736468507,432.725454545455
-77.9490009280145,436.695412844037
-79.3265324893197,436.695412844037
-77.6219323774751,386.990243902439
-78.2068437307395,383.86935483871
-77.5811889808935,380.7984
-78.7823965023516,380.7984
-78.1571393872536,377.77619047619
-79.9836040238097,380.7984
-81.8395277674072,383.86935483871
-81.1848115452679,380.7984
-83.4559284982538,403.38813559322
-84.1692270324269,406.835897435897
-86.1892284739329,410.343103448276
-85.4525684015061,406.835897435897
-86.9387000258802,413.911304347826
-86.7359097705853,406.835897435897
-87.2733252825487,403.38813559322
-89.3025925087437,406.835897435897
-89.8293258882282,386.990243902439
-98.2859820922979,406.835897435897
-99.5693234613771,406.835897435897
-99.9979812301982,403.38813559322
-100.852664830456,406.835897435897
-102.136006199535,406.835897435897
-103.419347568615,406.835897435897
-120.095116619438,580.485365853658
-121.155910392244,559.997647058824
-124.385753851464,566.664285714286
-122.266282447693,573.49156626506
-125.285203001957,587.651851851852
-126.851268039481,594.9975
-127.138918312849,587.651851851852
-128.456980293145,602.529113924051
-131.793525235824,618.179220779221
-135.503320833431,626.313157894737
-137.310031777877,634.664
-137.136505988628,643.24054054054
-139.165572747848,643.24054054054
-141.071950456723,652.052054794521
-143.031283101955,661.108333333333
-145.045808216067,670.419718309859
-145.185674845278,652.052054794521
-147.202142551462,661.108333333333
-151.390214139261,670.419718309859
-149.287572276216,661.108333333333
-151.390214139261,670.419718309859
-153.505016113659,670.419718309859
-169.109704482336,699.997058823529
-159.987971777633,679.997142857143
-169.109704482336,699.997058823529
-171.31780654384,699.997058823529
-163.697434593776,652.052054794521
-175.36324152939,689.852173913043
-170.141869523752,661.108333333333
-2.7409906923468,155.554901960784
-0.194234991052554,105.076821192053
-0.213047096723514,115.253753026634
0.153109579397665,117.240886699507
-0.26744210014229,144.680243161094
-0.272410064850817,147.367801857585
0.199879386609183,153.054019292605
-0.29135248657883,157.615231788079
0.220434358990985,168.793617021277
-0.888579817645791,177.611194029851
-0.898639211807819,179.621886792453
-0.342367513411688,185.213229571984
-0.347780438524921,188.141501976285
-0.35055159739764,189.640637450199
-0.351953803787211,190.3992
